,COG ID,COG Name,COG Long Name,County Num of County in COG,County,County Short Name,County Long Name
0,1,Panhandle,Panhandle Regional Planning Commission,0,Armstrong (48011),Armstrong,Armstrong County
1,2,South Plains,South Plains Association of Governments,0,Bailey (48017),Bailey,Bailey County
2,3,Nortex,Nortex Regional Planning Commission,0,Archer (48009),Archer,Archer County
3,4,North Central Texas,North Central Texas Council of Governments,0,Collin (48085),Collin,Collin County
4,5,Ark-Tex,Ark-Tex Council of Governments,0,Bowie (48037),Bowie,Bowie County
5,6,East Texas,East Texas Council of Governments,0,Anderson (48001),Anderson,Anderson County
6,7,West Central Texas,West Central Texas Council of Governments,0,Brown (48049),Brown,Brown County
7,8,Rio Grande,Rio Grande Council of Governments,0,Brewster (48043),Brewster,Brewster County
8,9,Permian Basin,Permian Basin Regional Planning Commission,0,Andrews (48003),Andrews,Andrews County
9,10,Concho Valley,Concho Valley Council of Governments,0,Coke (48081),Coke,Coke County
10,11,Heart of Texas,Heart of Texas Council of Governments,0,Bosque (48035),Bosque,Bosque County
11,12,Capital Area,Capital Area Council of Governments,0,Bastrop (48021),Bastrop,Bastrop County
12,13,Brazos Valley,Brazos Valley Council of Governments,0,Brazos (48041),Brazos,Brazos County
13,14,Deep East Texas,Deep East Texas Council of Governments,0,Angelina (48005),Angelina,Angelina County
14,15,South East Texas,South East Texas Regional Planning Commission,0,Hardin (48199),Hardin,Hardin County
15,16,Houston-Galveston,Houston-Galveston Area Council,0,Austin (48015),Austin,Austin County
16,17,Golden Crescent,Golden Crescent Regional Planning Commission,0,Calhoun (48057),Calhoun,Calhoun County
17,18,Alamo Area,Alamo Area Council of Governments,0,Atascosa (48013),Atascosa,Atascosa County
18,19,South Texas,South Texas Development Council,0,Jim Hogg (48247),Jim Hogg,Jim Hogg County
19,20,Coastal Bend,Coastal Bend Council of Governments,0,Aransas (48007),Aransas,Aransas County
20,21,Lower Rio Grande Valley,Lower Rio Grande Valley Development Council,0,Cameron (48061),Cameron,Cameron County
21,22,Texoma,Texoma Council of Governments,0,Cooke (48097),Cooke,Cooke County
22,23,Central Texas,Central Texas Council of Governments,0,Bell (48027),Bell,Bell County
23,24,Middle Rio Grande,Middle Rio Grande Development Council,0,Dimmit (48127),Dimmit,Dimmit County
24,1,Panhandle,Panhandle Regional Planning Commission,1,Briscoe (48045),Briscoe,Briscoe County
25,2,South Plains,South Plains Association of Governments,1,Cochran (48079),Cochran,Cochran County
26,3,Nortex,Nortex Regional Planning Commission,1,Baylor (48023),Baylor,Baylor County
27,4,North Central Texas,North Central Texas Council of Governments,1,Dallas (48113),Dallas,Dallas County
28,5,Ark-Tex,Ark-Tex Council of Governments,1,Cass (48067),Cass,Cass County
29,6,East Texas,East Texas Council of Governments,1,Camp (48063),Camp,Camp County
30,7,West Central Texas,West Central Texas Council of Governments,1,Callahan (48059),Callahan,Callahan County
31,8,Rio Grande,Rio Grande Council of Governments,1,Culberson (48109),Culberson,Culberson County
32,9,Permian Basin,Permian Basin Regional Planning Commission,1,Borden (48033),Borden,Borden County
33,10,Concho Valley,Concho Valley Council of Governments,1,Concho (48095),Concho,Concho County
34,11,Heart of Texas,Heart of Texas Council of Governments,1,Falls (48145),Falls,Falls County
