,COG ID,COG Name,COG Long Name,County,FIPS,County Name,County Long Name
0,1,Panhandle,Panhandle Regional Planning Commission,Armstrong (48011),48011,Armstrong,Armstrong County
1,2,South Plains,South Plains Association of Governments,Bailey (48017),48017,Bailey,Bailey County
2,3,Nortex,Nortex Regional Planning Commission,Archer (48009),48009,Archer,Archer County
3,4,North Central Texas,North Central Texas Council of Governments,Collin (48085),48085,Collin,Collin County
4,5,Ark-Tex,Ark-Tex Council of Governments,Bowie (48037),48037,Bowie,Bowie County
5,6,East Texas,East Texas Council of Governments,Anderson (48001),48001,Anderson,Anderson County
6,7,West Central Texas,West Central Texas Council of Governments,Brown (48049),48049,Brown,Brown County
7,8,Rio Grande,Rio Grande Council of Governments,Brewster (48043),48043,Brewster,Brewster County
8,9,Permian Basin,Permian Basin Regional Planning Commission,Andrews (48003),48003,Andrews,Andrews County
9,10,Concho Valley,Concho Valley Council of Governments,Coke (48081),48081,Coke,Coke County
10,11,Heart of Texas,Heart of Texas Council of Governments,Bosque (48035),48035,Bosque,Bosque County
11,12,Capital Area,Capital Area Council of Governments,Bastrop (48021),48021,Bastrop,Bastrop County
12,13,Brazos Valley,Brazos Valley Council of Governments,Brazos (48041),48041,Brazos,Brazos County
13,14,Deep East Texas,Deep East Texas Council of Governments,Angelina (48005),48005,Angelina,Angelina County
14,15,South East Texas,South East Texas Regional Planning Commission,Hardin (48199),48199,Hardin,Hardin County
15,16,Houston-Galveston,Houston-Galveston Area Council,Austin (48015),48015,Austin,Austin County
16,17,Golden Crescent,Golden Crescent Regional Planning Commission,Calhoun (48057),48057,Calhoun,Calhoun County
17,18,Alamo Area,Alamo Area Council of Governments,Atascosa (48013),48013,Atascosa,Atascosa County
18,19,South Texas,South Texas Development Council,Jim Hogg (48247),48247,Jim Hogg,Jim Hogg County
19,20,Coastal Bend,Coastal Bend Council of Governments,Aransas (48007),48007,Aransas,Aransas County
20,21,Lower Rio Grande Valley,Lower Rio Grande Valley Development Council,Cameron (48061),48061,Cameron,Cameron County
21,22,Texoma,Texoma Council of Governments,Cooke (48097),48097,Cooke,Cooke County
22,23,Central Texas,Central Texas Council of Governments,Bell (48027),48027,Bell,Bell County
23,24,Middle Rio Grande,Middle Rio Grande Development Council,Dimmit (48127),48127,Dimmit,Dimmit County
24,1,Panhandle,Panhandle Regional Planning Commission,Briscoe (48045),48045,Briscoe,Briscoe County
25,2,South Plains,South Plains Association of Governments,Cochran (48079),48079,Cochran,Cochran County
26,3,Nortex,Nortex Regional Planning Commission,Baylor (48023),48023,Baylor,Baylor County
27,4,North Central Texas,North Central Texas Council of Governments,Dallas (48113),48113,Dallas,Dallas County
28,5,Ark-Tex,Ark-Tex Council of Governments,Cass (48067),48067,Cass,Cass County
29,6,East Texas,East Texas Council of Governments,Camp (48063),48063,Camp,Camp County
30,7,West Central Texas,West Central Texas Council of Governments,Callahan (48059),48059,Callahan,Callahan County
31,8,Rio Grande,Rio Grande Council of Governments,Culberson (48109),48109,Culberson,Culberson County
32,9,Permian Basin,Permian Basin Regional Planning Commission,Borden (48033),48033,Borden,Borden County
33,10,Concho Valley,Concho Valley Council of Governments,Concho (48095),48095,Concho,Concho County
34,11,Heart of Texas,Heart of Texas Council of Governments,Falls (48145),48145,Falls,Falls County
35,12,Capital Area,Capital Area Council of Governments,Blanco (48031),48031,Blanco,Blanco County
