	Site Name	Type	Billing Address	Billing City	Billing State/Province	Billing Zip/Postal Code	Grant	# Full Time Slots	# Three Quarter Time Slots	# Half Time Slots	# Reduced Half Time Slots	# Quarter-Time Slots	# Minimum Time Slots	# Abbreviated Time Slots	full_address	googleMaps_lat_long	googleMaps_clean_address
0	Glenwood Elementary School	Education-K thru 12	2407 S. Houston	Amarillo	TX	79103	21-22 Amarillo ISD ACTX				2.0				2407 S. Houston, Amarillo, TX 79103	(35.1875439, -101.8237399)	2407 S Houston St, Amarillo, TX 79103, USA
1	Humphrey's Highland Elementary School	Education-K thru 12	3901 SE 15th	Amarillo	TX	79104	21-22 Amarillo ISD ACTX			1	5.0				3901 SE 15th, Amarillo, TX 79104	(35.1967066, -101.7908832)	3901 SE 15th Ave, Amarillo, TX 79104, USA
2	Lamar Elementary School	Education-K thru 12	3800 S. Lipscomb	Amarillo	TX	79110	21-22 Amarillo ISD ACTX				2.0				3800 S. Lipscomb, Amarillo, TX 79110	(35.1737463, -101.8545579)	3800 S Lipscomb St, Amarillo, TX 79110, USA
3	Landergin Elementary School	Education-K thru 12	3209 S. Taylor	Amarillo	TX	79110	21-22 Amarillo ISD ACTX				2.0				3209 S. Taylor, Amarillo, TX 79110	(35.1788868, -101.8391701)	3209 S Taylor St, Amarillo, TX 79110, USA
4	Lawndale Elementary School	Education-K thru 12	2215 S. Bivins	Amarillo	TX	79103	21-22 Amarillo ISD ACTX				2.0				2215 S. Bivins, Amarillo, TX 79103	(35.1875445, -101.8068325)	2215 S Bivins St, Amarillo, TX 79103, USA
5	Oak Dale Elementary School	Education-K thru 12	2711 S. Hill	Amarillo	TX	79103	21-22 Amarillo ISD ACTX			1	2.0				2711 S. Hill, Amarillo, TX 79103	(35.1838282, -101.7913729)	2711 S Hill St, Amarillo, TX 79103, USA
6	South Lawn Elementary School	Education-K thru 12	4719 S. Bowie	Amarillo	TX	79110	21-22 Amarillo ISD ACTX			2	4.0				4719 S. Bowie, Amarillo, TX 79110	(35.159764, -101.8569855)	4719 Bowie St, Amarillo, TX 79110, USA
7	Sunrise Elementary School	Education-K thru 12	5123 E. 14th	Amarillo	TX	79104	21-22 Amarillo ISD ACTX				2.0				5123 E. 14th, Amarillo, TX 79104	(35.1961316, -101.7996406)	SE 14th Ave, Amarillo, TX, USA
8	Tradewind Elementary School	Education-K thru 12	4300 Williams	Amarillo	TX	79118	21-22 Amarillo ISD ACTX			3	5.0				4300 Williams, Amarillo, TX 79118	(35.1697964, -101.8188418)	4300 Williams St, Amarillo, TX 79118, USA
9	San Jacinto Elementary School	Education-K thru 12	3400 W. 4th	Amarillo	TX	79106	21-22 Amarillo ISD ACTX				2.0				3400 W. 4th, Amarillo, TX 79106	(35.2018872, -101.8948754)	Amarillo, TX 79106, USA
10	Margaret Wills Elementary School	Education-K thru 12	3500 W. 11th Ave.	Amarillo	TX	79106	21-22 Amarillo ISD ACTX				2.0				3500 W. 11th Ave., Amarillo, TX 79106	(35.2015614, -101.8750708)	3500 W 11th Ave, Amarillo, TX 79102, USA
11	Carver Elementary School	Education-K thru 12	1905 N.W. 12th	Amarillo	TX	79107	21-22 Amarillo ISD ACTX			1	3.0				1905 N.W. 12th, Amarillo, TX 79107	(35.2256944, -101.8555783)	1905 NW 12th Ave, Amarillo, TX 79107, USA
12	Whittier Elementary School	Education-K thru 12	2004 N. Marrs	Amarillo	TX	79107	21-22 Amarillo ISD ACTX				2.0				2004 N. Marrs, Amarillo, TX 79107	(35.2335371, -101.8016117)	2004 N Marrs St, Amarillo, TX 79107, USA
13	Mesa Verde Elementary School	Education-K thru 12	4011 Beaver	Amarillo	TX	79107	21-22 Amarillo ISD ACTX				2.0				4011 Beaver, Amarillo, TX 79107	(35.2416077, -101.7914174)	4011 Beaver Dr, Amarillo, TX 79107, USA
14	Forest Hill Elementary School	Education-K thru 12	3515 Amarillo Blvd. E.	Amarillo	TX	79107	21-22 Amarillo ISD ACTX				2.0				3515 Amarillo Blvd. E., Amarillo, TX 79107	(35.2234092, -101.7957624)	3515 E Amarillo Blvd, Amarillo, TX 79107, USA
15	Avondale Elementary School	Education-K thru 12	1500 Avondale	Amarillo	TX	79106	21-22 Amarillo ISD ACTX			1	3.0				1500 Avondale, Amarillo, TX 79106	(35.1997354, -101.8944274)	1500 S Avondale St, Amarillo, TX 79106, USA
16	Wolflin Elementary School	Education-K thru 12	2026 S Hughes	Amarillo	TX	79109	21-22 Amarillo ISD ACTX			1	3.0				2026 S Hughes, Amarillo, TX 79109	(35.192243, -101.8500408)	2026 S Hughes St, Amarillo, TX 79109, USA
17	American YouthWorks - Texas Conservation Corps 	Nonprofit	1901 E Ben White Blvd	Austin	TX	78741	21-22 American YouthWorks ACTX		30.0						1901 E Ben White Blvd, Austin, TX 78741	(30.2154969, -97.74735720000001)	1901 E Ben White Blvd, Austin, TX 78741, USA
18	Big Thought Headquarters	Nonprofit	1409 Botham Jean Blvd, Suite 1015	Dallas	TX	75215	21-22 Big Thought ACTX			20					1409 Botham Jean Blvd, Suite 1015, Dallas, TX 75215	(32.7668465, -96.79473949999999)	1409 Botham Jean Blvd #1015, Dallas, TX 75215, USA
19	Breakthrough Central Texas Office	Nonprofit	1050 East 11th Street, Suite 350	Austin	TX	78702	21-22 Breakthrough Central Texas ACTX	21				8			1050 East 11th Street, Suite 350, Austin, TX 78702	(30.2693881, -97.7291522)	1050 E 11th St #350, Austin, TX 78702, USA
20	University of Texas	Education-College/University	116 Inner Campus Drive	Austin	TX	78712	21-22 Breakthrough Central Texas ACTX					32			116 Inner Campus Drive, Austin, TX 78712	(30.2863279, -97.73860719999999)	Dorothy L. Gebauer Building, 116 Inner Campus Drive, Austin, TX 78705, USA
21	St. Andrew's Episcopal School	Education-K thru 12	1112 W 31st Street	Austin	TX	78705	21-22 Breakthrough Central Texas ACTX					32			1112 W 31st Street, Austin, TX 78705	(30.3025154, -97.7490124)	1112 W 31st St, Austin, TX 78705, USA
22	Decker Middle School	Education-K thru 12	8104 Decker Lane	Austin	TX	78724	21-22 Breakthrough Central Texas ACTX					56			8104 Decker Lane, Austin, TX 78724	(30.3107777, -97.62141919999999)	8104 Decker Ln, Austin, TX 78724, USA
23	Del Valle Middle School	Education-K thru 12	5500 Ross Road	Del Valle	TX	78617	21-22 Breakthrough Central Texas ACTX					36			5500 Ross Road, Del Valle, TX 78617	(30.1736319, -97.6237069)	5500 Ross Rd, Del Valle, TX 78617, USA
24	St. John's School	Education-K thru 12	2401 Claremont Lane	Houston	TX	77019	21-22 Breakthrough Central Texas ACTX					36			2401 Claremont Lane, Houston, TX 77019	(29.7427585, -95.42934819999999)	2401 Claremont Ln, Houston, TX 77019, USA
25	KIPP Connect	Education-K thru 12	6700 Bellaire Blvd	Houston	TX	77074	21-22 Breakthrough Central Texas ACTX					36			6700 Bellaire Blvd, Houston, TX 77074	(29.7059163, -95.5019875)	6700 Bellaire Blvd, Houston, TX 77074, USA
26	Gregory Lincoln Education Center	Education-K thru 12	1101 Taft St	Houston	TX	77019	21-22 Breakthrough Central Texas ACTX					36			1101 Taft St, Houston, TX 77019	(29.7562, -95.3850394)	1101 Taft St, Houston, TX 77019, USA
27	ChildFund Texas Area Office	Nonprofit	4220 N Bicentennial Dr, Suite E	McAllen	TX	78504-4103	21-22 ChildFund International ACTX						8		4220 N Bicentennial Dr, Suite E, McAllen, TX 78504-4103	(26.2436452, -98.2336504)	4220 N Bicentennial Dr e, McAllen, TX 78504, USA
28	Rosendo Benvidez Elementary School	Education-K thru 12	1885 El Pinto Rd	Sullivan City	TX	78595-2002	21-22 ChildFund International ACTX			2					1885 El Pinto Rd, Sullivan City, TX 78595-2002	(26.3046249, -98.558104)	1885 El Pinto Rd, Sullivan City, TX 78595, USA
29	Juan N Sequin Elementary School	Education-K thru 12	8500 N Western Rd	Mission	TX	78574-6679	21-22 ChildFund International ACTX			2					8500 N Western Rd, Mission, TX 78574-6679	(26.330101, -98.39058449999999)	8500 Western Rd, Mission, TX 78574, USA
30	Emiliano Zapata Elementry School	Education-K thru 12	9100 La Homa Rd	Mission	TX	78574-5442	21-22 ChildFund International ACTX			2					9100 La Homa Rd, Mission, TX 78574-5442	(26.332875, -98.342749)	9100 La Homa Rd, Mission, TX 78574, USA
31	Elodia Chapa Elementary School	Education-K thru 12	5670 Doffing Rd	Mission	TX	78574-1258	21-22 ChildFund International ACTX			2					5670 Doffing Rd, Mission, TX 78574-1258	(26.2860403, -98.3752567)	5670 Doffing Rd, Mission, TX 78574, USA
32	Evangelina Garza Elementary School	Education-K thru 12	8731 N Doffing Rd	Mission	TX	78574-3385	21-22 ChildFund International ACTX			2					8731 N Doffing Rd, Mission, TX 78574-3385	(26.3311208, -98.3700812)	8731 N Doffing Rd, Mission, TX 78574, USA
33	Clinton Elementary School	Education-K thru 12	39202 Mile 7 Rd	Penitas	TX	78576	21-22 ChildFund International ACTX			2					39202 Mile 7 Rd, Penitas, TX 78576	(26.3400866, -98.44725620000001)	39202 Mile 7 Rd, Penitas, TX 78576, USA
34	Sam Fordyce Elementary School	Education-K thru 12	801 FM886	Sullivan City	TX	78595	21-22 ChildFund International ACTX			2					801 FM886, Sullivan City, TX 78595	(26.2666205, -98.553647)	801 FM886, Sullivan City, TX 78595, USA
35	Mendiola Elementary School	Education-K thru 12	6401 Abram Rd	Mission	TX	78572	21-22 ChildFund International ACTX			2					6401 Abram Rd, Mission, TX 78572	(26.2993559, -98.3891273)	6401 Abram Rd, Mission, TX 78574, USA
36	Avila Elementary School	Education-K thru 12	9205 Carmen Avila Rd	Edinburg	TX	78542-0961	21-22 ChildFund International ACTX			2					9205 Carmen Avila Rd, Edinburg, TX 78542-0961	(26.3871401, -98.08993950000001)	9205 Carmen Avila Rd, Edinburg, TX 78542, USA
37	Monte Cristo Elementary School	Education-K thru 12	4010 N Doolittle Rd	Edinburg	TX	78542-0538	21-22 ChildFund International ACTX			2					4010 N Doolittle Rd, Edinburg, TX 78542-0538	(26.3362067, -98.1212264)	4010 N Doolittle Rd, Edinburg, TX 78542, USA
38	Lee Elementary School	Education-K thru 12	1215 W Sprague	Edinburg	TX	78542-7402	21-22 ChildFund International ACTX			2					1215 W Sprague, Edinburg, TX 78542-7402	(26.2969254, -98.1759461)	1215 W Sprague St, Edinburg, TX 78539, USA
