	Site Name	Type	Billing Address	Billing City	Billing State/Province	Billing Zip/Postal Code	Grant	# Full Time Slots	# Three Quarter Time Slots	# Half Time Slots	# Reduced Half Time Slots	# Quarter-Time Slots	# Minimum Time Slots	# Abbreviated Time Slots	full_address
0	Glenwood Elementary School	Education-K thru 12	2407 S. Houston	Amarillo	TX	79103	21-22 Amarillo ISD ACTX				2.0				2407 S. Houston, Amarillo, TX 79103
1	Humphrey's Highland Elementary School	Education-K thru 12	3901 SE 15th	Amarillo	TX	79104	21-22 Amarillo ISD ACTX			1	5.0				3901 SE 15th, Amarillo, TX 79104
2	Lamar Elementary School	Education-K thru 12	3800 S. Lipscomb	Amarillo	TX	79110	21-22 Amarillo ISD ACTX				2.0				3800 S. Lipscomb, Amarillo, TX 79110
3	Landergin Elementary School	Education-K thru 12	3209 S. Taylor	Amarillo	TX	79110	21-22 Amarillo ISD ACTX				2.0				3209 S. Taylor, Amarillo, TX 79110
4	Lawndale Elementary School	Education-K thru 12	2215 S. Bivins	Amarillo	TX	79103	21-22 Amarillo ISD ACTX				2.0				2215 S. Bivins, Amarillo, TX 79103
5	Oak Dale Elementary School	Education-K thru 12	2711 S. Hill	Amarillo	TX	79103	21-22 Amarillo ISD ACTX			1	2.0				2711 S. Hill, Amarillo, TX 79103
6	South Lawn Elementary School	Education-K thru 12	4719 S. Bowie	Amarillo	TX	79110	21-22 Amarillo ISD ACTX			2	4.0				4719 S. Bowie, Amarillo, TX 79110
7	Sunrise Elementary School	Education-K thru 12	5123 E. 14th	Amarillo	TX	79104	21-22 Amarillo ISD ACTX				2.0				5123 E. 14th, Amarillo, TX 79104
8	Tradewind Elementary School	Education-K thru 12	4300 Williams	Amarillo	TX	79118	21-22 Amarillo ISD ACTX			3	5.0				4300 Williams, Amarillo, TX 79118
9	San Jacinto Elementary School	Education-K thru 12	3400 W. 4th	Amarillo	TX	79106	21-22 Amarillo ISD ACTX				2.0				3400 W. 4th, Amarillo, TX 79106
10	Margaret Wills Elementary School	Education-K thru 12	3500 W. 11th Ave.	Amarillo	TX	79106	21-22 Amarillo ISD ACTX				2.0				3500 W. 11th Ave., Amarillo, TX 79106
11	Carver Elementary School	Education-K thru 12	1905 N.W. 12th	Amarillo	TX	79107	21-22 Amarillo ISD ACTX			1	3.0				1905 N.W. 12th, Amarillo, TX 79107
12	Whittier Elementary School	Education-K thru 12	2004 N. Marrs	Amarillo	TX	79107	21-22 Amarillo ISD ACTX				2.0				2004 N. Marrs, Amarillo, TX 79107
13	Mesa Verde Elementary School	Education-K thru 12	4011 Beaver	Amarillo	TX	79107	21-22 Amarillo ISD ACTX				2.0				4011 Beaver, Amarillo, TX 79107
14	Forest Hill Elementary School	Education-K thru 12	3515 Amarillo Blvd. E.	Amarillo	TX	79107	21-22 Amarillo ISD ACTX				2.0				3515 Amarillo Blvd. E., Amarillo, TX 79107
15	Avondale Elementary School	Education-K thru 12	1500 Avondale	Amarillo	TX	79106	21-22 Amarillo ISD ACTX			1	3.0				1500 Avondale, Amarillo, TX 79106
16	Wolflin Elementary School	Education-K thru 12	2026 S Hughes	Amarillo	TX	79109	21-22 Amarillo ISD ACTX			1	3.0				2026 S Hughes, Amarillo, TX 79109
