District,Rep_lastName,Rep_firstName,Rep_middleName,Rep_homepage_url,Rep_photo_url,Rep_en_bio,Rep_es_bio,Rep_contact_form_link,Rep_capitol_office_info,Rep_district_office_info,Rep_committee_affiliation
1,VanDeaver,Gary,,https://house.texas.gov/members/member-page/?district=1,https://house.texas.gov/photos/members/2540.jpg?v=01,"During the 87th Texas Legislature, Dr. Gary VanDeaver will be serving his fourth term as the state Representative for Texas House District 1 that includes Bowie, Lamar, Franklin and Red River counties.  Rep. VanDeaver has served on the House Committee on Appropriations and the House Committee on Public Education beginning with his first term in 2015.  Rep. VanDeaver looks forward to continuing to work with his legislative colleagues and the leadership on behalf of his constituents in House District 1 during the 2021 legislative session.

Raised on a small family cattle operation near Clarksville, Texas, in Red River County, Gary learned the importance of a strong work ethic, a love for the land, and faith in God from an early age. Traditional values and a commitment to service continue to drive Gary in his daily work on behalf of the families and communities of his district.

Inspired by a deep-seated belief in serving others and investing in our rising generation, Gary embarked on a 33-year career as an educator. After beginning his career as a vocational agriculture teacher, he became a school principal and completed a Doctorate in Educational Administration. He most recently served as Superintendent of New Boston Independent School District before his initial election to the Texas House in 2014.

In his previous sessions, Gary has helped draft responsible state budgets that held overall state spending below the rate of inflation and population growth. In his previous sessions, Gary has passed several pieces of legislation specifically for interests in House District 1 including bills relating to the election of trustees for Paris Junior College; appointment of bailiffs in Bowie County courts; additional powers for TexAmericas Center; and numerous public education bills.   Rep. VanDeaver has already introduced several bills for consideration during the 87th session that are also based on needs of or ideas from his constituents including allowing honorably retired peace officers to purchase uniforms so they can be buried in those uniforms; preventing employment discrimination against volunteer first responders; and requesting an interim study relating to making the Northeast Texas Trail (NETT) a part of the state park system.

Gary and his wife, Pamela, have been married for 37 years. Their two grown daughters carry on the family tradition of public service as a schoolteacher and criminal prosecutor.  In 2016, the VanDeavers welcomed their first granddaughter, and a second granddaughter joined the family in August 2018.  Locally, Gary is involved with the Chamber of Commerce and Lions Club, having served as president of both. He also served on the Board of Directors of the Texas FFA, Red River County Farm Bureau, Bogata Rodeo Association, and Red River County Fair Association. The VanDeavers are members of the First Baptist Church of New Boston, where Gary serves as a deacon and teaches adult Sunday school.","El Dr. Gary VanDeaver desempeña su primer período como representante estatal para el Distrito 1 de la Cámara de Representantes de Texas, el cual incluye los condados de Bowie, Franklin, Lamar y Red River. Es miembro del Comité de Educación Pública y del Comité de Asignaciones Presupuestarias de la Cámara. Este último tiene la importante tarea de elaborar el presupuesto del estado. Antes de su elección a la Cámara de Representantes de Texas, el Dr. VanDeaver fungió como docente rural durante treinta y tres años, siendo su puesto más reciente el de Superintendente del Distrito Escolar Independiente de New Boston, en el condado de Bowie.

Gary creció en un pequeño rancho ganadero familiar cerca de Clarksville, Texas, en el condado de Red River, donde aprendió la importancia de una ética de trabajo arraigada, del amor a la tierra y de la fe en Dios. Comenzó su carrera como maestro de escuela secundaria de materias agrícolas técnicas. Motivado por su profundo deseo de ayudar a los demás e invertir esfuerzos en nuestra generación naciente, Gary obtuvo su Doctorado en Administración y Gestión Educacional y comenzó a abogar firmemente a favor de la mejor educación posible para los niños del noreste de Texas.  

Esos valores rurales son los que aún motivan a Gary a servir a nuestras familias y comunidades a diario como representante estatal. Tiene el compromiso de honrar nuestros valores tradicionales, incrementar las posibilidades de trabajo y la prosperidad económica, y mejorar nuestras escuelas a fin de brindarle a cada niño texano la oportunidad de alcanzar el éxito.

Como conservador fiscal, Gary sabe cómo lograr más con menos y cómo estirar el dólar para que cada tarea se realice con la mayor eficiencia posible. Como Superintendente Escolar, equilibró y supervisó un presupuesto multimillonario y condujo las operaciones cotidianas de su distrito escolar. Como miembro del Comité de Asignaciones Presupuestarias de la Cámara, Gary utiliza ese mismo enfoque conservador para equilibrar el presupuesto y disminuir los impuestos de los texanos.

Gary es miembro de la Asociación Nacional del Rifle (NRA) y enérgico defensor del derecho a portar armas. Ha sido miembro del Consejo de Administración de Futuros Agricultores de América (FFA) y del Buró Agrícola del condado de Red River. Asimismo, fue director de la Asociación del Rodeo de Bogata y de la Asociación de la Feria Rural del condado de Red River. Fue presidente del Club de Leones de New Boston y director y previo presidente de la Cámara de Comercio de New Boston.

Gary y su esposa, Pamela, han gozado de su matrimonio durante treinta y un años. Sus dos hijas, ya mayores, continúan la tradición familiar de servicio público, una como docente escolar y la otra como fiscal. Los VanDeaver son miembros de la Primera Iglesia Bautista de New Boston donde Gary trabaja como diácono e imparte clases en la escuela dominical para adultos.",https://house.texas.gov/members/member-page/email/?district=1&session=87,"{'address_line_1': 'Room E1.304', 'address_line_2': 'P.O. Box 2910', 'address_city': 'Austin', 'address_state': 'TX', 'address_zip': '78768', 'phone_1': '5124630692', 'fax_1': '5124630902'}","{'address_line_1': 'Bowie County Courthouse', 'address_line_2': '', 'address_city': '710', 'address_state': 'James', 'address_zip': 'Bowie', 'phone_1': 'NewBoston,Texas75570', 'fax_1': '9036280361'}","{'Appropriations': 'https://house.texas.gov/committees/committee/?committee=C030', 'Appropriations - S/C on Article III': 'https://house.texas.gov/committees/committee/?committee=C012', 'Public Education': 'https://house.texas.gov/committees/committee/?committee=C400'}"
2,Slaton,Bryan,,https://house.texas.gov/members/member-page/?district=2,https://house.texas.gov/photos/members/4045.jpg?v=01,"Born in Mineola, Texas, Bryan Slaton is a proud East Texan with values and principles that represent the great people of East Texas. These values were formed as he grew up regularly participating in church and family gatherings. Bryan attended Ouachita Baptist University, where he earned a double major in Youth Ministry/Speech Communication. He then attended Southwestern Baptist Theological Seminary and earned a Masters of Divinity with Biblical Languages. He served in the ministry as a Youth and Family Minister for 13 years.

Continuing his education, Bryan graduated from The University of North Texas, where he earned a Bachelor degree in Business Administration Accounting. Bryan now works at the family business.

Bryan Slaton is passionate about helping the people of East Texas obtain and maintain a Government that is transparent, protects liberty, defends the sanctity of life and fulfills the will of the sovereign people of Texas. 

Representative Slaton enjoys hunting and shooting.  Bryan and his wife, Sharmen, have been married for 3 years. They have a son, Maximus, and attend Fellowship Church - Royse City.",,https://house.texas.gov/members/member-page/email/?district=2&session=87,"{'address_line_1': 'Room E2.420', 'address_line_2': 'P.O. Box 2910', 'address_city': 'Austin', 'address_state': 'TX', 'address_zip': '78768', 'phone_1': '5124630880', 'fax_1': '5124632188'}",None,"{'Corrections': 'https://house.texas.gov/committees/committee/?committee=C200', 'Urban Affairs': 'https://house.texas.gov/committees/committee/?committee=C480'}"
3,Bell,Cecil,,https://house.texas.gov/members/member-page/?district=3,https://house.texas.gov/photos/members/2335.jpg?v=01,"Representative Cecil Bell, Jr. is a sixth generation Texan whose family has been in the State of Texas since 1852. The oldest of three siblings, he was born in Rosenberg but was raised all across Texas.
 
A 2009 Ernst & Young Entrepreneur of the Year Finalist for the Southwest Region, Representative Bell serves as the CEO of nine active enterprises, providing clients with a variety of services and creating jobs for Texans. 
Cecils cow/calf ranching operations, located in Leon and Freestone Counties, demonstrate his personal commitment to his Texas heritage and to agriculture in Texas.
 
Through the years, Rep. Bell, Jr. has been really involved in his community. He has served as the Chairman of the Greater Magnolia Economic Development Partnership and was president of the Magnolia ISD School Board of Trustees. He is a charter member of the local Rotary  and he also supports his local Future Farmers of America (FFA), youth clubs, area churches, and community organizations. As a Life Member of the National Rifle Association (NRA) and the Texas State Rifle Association (TSRA), Cecil Bell, Jr. believes in our 2nd Amendment right to have and bear arms.
 
This is Rep. Bell's fifth Session in the Texas Legislature. He currently serves as Chair of the House Appropriations Sub-Committee on Strategic Fiscal Rev. & Fed. Relief Funds and Vice Chair of the House Appropriations Committee for Articles VI, VII, and VIII. In addition, he sits on the House Committee on International Relations and Economic Development. Throughout his years at the Legislature, he  worked on dual credit access to career and technology courses; ensured Prairie View A&M University's eligibility to use unexpended balances for the Center for Study and Prevention of Juvenile Crime and Delinquency; updated the definition of first responder to include our vitally important and hard working emergency response operators and emergency services dispatchers; and authorized a property owner to request a protest hearing notice to be delivered by certified mail or email. Rep. Bell also authored legislation to combat inadequate landfill permitting like the proposed landfill in Hempstead and legislation to protect the rights of property owners in an eminent domain proceeding. 
 
Cecil met his high school sweetheart and now-wife, Jo Ann, at the 1979 National Meeting of the Beta Club Honor Society. The Bells moved to Magnolia in 1993. He and Jo Ann have two boys. Cecil Trey Bell, III and Charlie Bell. The Bell family attends the Magnolia Church of Christ, where Cecil served many years as a Deacon.","Cecil Bell (h) es texano de sexta generación y su familia ha residido en Texas desde 1852. El mayor de tres hermanos, Cecil nació en Rosenberg, Texas, pero creció en diversas partes del estado.

Fue finalista para el premio Empresario del Año Ernst & Young 2009 para la Región Suroeste y es el presidente ejecutivo de seis dinámicas empresas que les brindan una amplia variedad de servicios a sus clientes y generan empleos para los texanos. Incitado por su naturaleza altamente empresarial, Cecil se incorporó en la B-5 Construction Co., Inc. en 1983, que construye instalaciones de tratamiento de agua potable y de aguas negras. La Tejas Underground Utilities, establecida en 1997, realiza la instalación de servicios públicos bajo tierra.

El inquebrantable respaldo de Cecil para garantizar el futuro de nuestras comunidades, y su constante disposición a ofrecer su tiempo y recursos personales de manera voluntaria se manifiestan en su servicio a la comunidad. Cecil es presidente de las instalaciones de entrenamiento de TCLEOSE del Precinto 5 del condado de Montgomery y ha presidido la Asociación para el Desarrollo Económico de Gran Magnolia. Asimismo, fue presidente del Consejo de Administración del Distrito Escolar Independiente de Magnolia. Es miembro fundador del Club de Rotarios y, también, brinda su apoyo a la división local de Futuros Agricultores de América (FFA), a clubes juveniles, a iglesias del área y a organizaciones comunitarias.

Como miembro vitalicio de la Asociación Nacional del Rifle (NRA) y de la Asociación del Rifle del Estado de Texas (TSRA), Cecil respalda el derecho a poseer y portar armas que nos otorga la 2ª Enmienda a la Constitución de los Estados Unidos.

Las operaciones ganaderas de Cecil, situadas en los condados de Leon y Freestone, son evidencia de su compromiso personal para con las tradiciones texanas y las actividades agrícola-ganaderas en el estado.

Cecil conoció a su novia de la adolescencia y ahora esposa, Jo-Ann, en la Conferencia Nacional de la Sociedad de Honor Académico Beta de 1979. Los Bell se mudaron a Magnolia en 1993. Cecil y JoAnn tienen dos hijos, Cecil Trey Bell III, que se graduó de la Escuela Secundaria Magnolia West en el 2010 y Charlie, que cursa su primer año en la Universidad Estatal de Tarleton. La familia Bell asiste a la iglesia Magnolia Church of Christ donde Cecil ha servido como diácono durante varios años.",https://house.texas.gov/members/member-page/email/?district=3&session=87,"{'address_line_1': 'Room E2.708', 'address_line_2': 'P.O. Box 2910', 'address_city': 'Austin', 'address_state': 'TX', 'address_zip': '78768', 'phone_1': '5124630650', 'fax_1': '5124630575'}","{'address_line_1': '18230 FM 1488', 'address_line_2': 'Ste. 302', 'address_city': 'Magnolia', 'address_state': 'TX', 'address_zip': '', 'phone_1': '2812593700', 'fax_1': '2812593706'}","{'Appropriations': 'https://house.texas.gov/committees/committee/?committee=C030', 'Appropriations - S/C on Articles VI, VII & VIII - Vice Chair': 'https://house.texas.gov/committees/committee/?committee=C014', 'Approps. - S/C on Strategic Fiscal Rev. & Fed. Relief Funds - Chair': 'https://house.texas.gov/committees/committee/?committee=C017', 'International Relations & Economic Development': 'https://house.texas.gov/committees/committee/?committee=C039'}"
4,Bell,Keith,,https://house.texas.gov/members/member-page/?district=4,https://house.texas.gov/photos/members/3695.jpg?v=01,"A lifelong Texan, State Representative Keith Bell resides in Forney, Texas. Before being elected to represent House District 4 in November 2018, Keith served as a trustee on the Forney ISD School Board for 20 years, elected as president for fourteen times. Keith Bell has been in the electrical field since 1976. He founded Intex Electrical Contractors, Inc. in November, 1983 and serves as CEO/President.

Keith holds a Master Electricians License in the State of Texas and served the Texas Department of Licensing and Regulation, as past chairman of the Texas Electrical Safety and Licensing Advisory Board. He is also active in numerous trade organizations, including the Independent Electrical Contractors Association (IEC), where he was elected to a two-year term as President of the Dallas Chapter of the IEC, and later served as the Texas IEC Chapter President. Before taking office, Representative Bell acted as IEC of Texas Governmental Affairs Chairman for almost two decades. Bell also serves on the Board of Directors at Baylor Scott & White Hospital-Sunnyvale. 

A graduate of Dallas Baptist University with a Bachelor in Business Studies, Keith and his wife, Annette, have been married for 39 years. They have two grown daughters, five grandchildren, and are members of First Baptist Church of Forney.

Representative Bell applies his conservative values, successful business skills and extensive public education knowledge to address skyrocketing property taxes, protect private property rights, local control and to act as champion for our local public schools. 

Representative Bell represents House District 4, encompassing Kaufman and Eastern Henderson counties.","El representante estatal Keith Bell, texano de toda la vida, reside en Forney, Texas. Antes de ser electo para representar el Distrito 4 de la Cámara en noviembre de 2018, Keith se desempeñó como administrador en la Junta Escolar del Distrito Escolar Independiente de Forney durante 20 años, donde fue elegido presidente catorce veces. Keith Bell se desempeña en el campo eléctrico desde 1976. Fundó Intex Electrical Contractors, Inc. en noviembre de 1983 y se desempeña como Director Ejecutivo/Presidente.

Keith tiene una Licencia de Maestro Electricista del Estado de Texas y se desempeñó en el Departamento de Licencias y Regulación de Texas, como Presidente de la Junta Asesora de Seguridad Eléctrica y Licencias de Texas. También participa activamente en numerosas organizaciones comerciales, tales como la Asociación de Contratistas Eléctricos Independientes (Independent Electrical Contractors Association, IEC), donde fue electo para un mandato de dos años como Presidente de la Sección de Dallas de la IEC, y posteriormente se desempeñó como Presidente de la Sección de Texas de la IEC. Antes de asumir el cargo, el Representante Bell se desempeñó como Presidente de Asuntos Gubernamentales de la IEC de Texas durante casi dos décadas. El Sr. Bell también es miembro de la Junta Directiva del Hospital Baylor Scott & White de Sunnyvale. 

Keith, graduado de la Dallas Baptist University en Estudios Empresariales, y su esposa, Annette, tienen 34 años de casados. Tienen dos hijas y cuatro nietos, y son miembros de la Primera Iglesia Bautista de Forney.

El Representante Bell aplica sus valores conservadores, sus exitosas habilidades empresariales y sus amplios conocimientos de educación pública para hacer frente a los crecientes impuestos a la propiedad, proteger los derechos de propiedad privada, el control local y actuar como defensor de nuestras escuelas públicas locales. 

El Representante Bell representa el Distrito 4 de la Cámara, que abarca los condados de Eastern Henderson y Kaufman.",https://house.texas.gov/members/member-page/email/?district=4&session=87,"{'address_line_1': 'Room E2.414', 'address_line_2': 'P.O. Box 2910', 'address_city': 'Austin', 'address_state': 'TX', 'address_zip': '78768', 'phone_1': '5124630458', 'fax_1': '5124632040'}","{'address_line_1': 'Athens Office -', 'address_line_2': '', 'address_city': '100', 'address_state': 'E.', 'address_zip': 'Corsicana', 'phone_1': 'Athens,Texas75751', 'fax_1': '9036753069'}","{'Criminal Jurisprudence - Vice Chair': 'https://house.texas.gov/committees/committee/?committee=C220', 'Public Education': 'https://house.texas.gov/committees/committee/?committee=C400'}"
5,Hefner,Cole,,https://house.texas.gov/members/member-page/?district=5,https://house.texas.gov/photos/members/3505.jpg?v=01,"A native East Texan, Cole Hefner lives in Mount Pleasant, Texas. He was elected state representative for House District 5 in May 2016. Prior to being elected to the Texas House of Representatives, Cole served as county commissioner for Upshur County and, while in office, was awarded the Certificate of Appreciation because of his service to veterans. He is a board member of the East Texas Council Regional Review Committee, a position he was appointed to by Governor Rick Perry. He is active in his community, where he is a member of the Lindale Chamber of Commerce, the Hide-A-Way Lake Kiwanis Club, and an active member at South Jefferson Baptist Church.

Cole spent 16 years in the construction industry, where he owned his own business, and eventually took over the management of his family's commercial construction company. Currently, he is a small business owner in the insurance industry, and he understands the importance of hard work and conservative values. 

He has been married to his wife, Kerri, since 2002, and they have seven wonderful children. As a private pilot, he enjoys flying in his free time.","Cole Hefner, nativo texano del Este, vive en Mount Pleasant, Texas.  Fue elegido Representante del Estado para el Distrito el 5 de mayo de 2016.  Antes de ser elegido en la Cámara de Representantes de Texas, Cole fue comisionado del Condado de Upshur, y mientras ejercía el cargo le otorgaron el Certificado de Agradecimiento por su servicio a los veteranos.  Es miembro del directorio del Comité de Revisión Regional del Consejo del Este de Texas, cargo para el cual lo designó el Gobernador Rick Perry.  Es activo en su comunidad, donde es miembro de la Cámara de Comercio de Lindale y del Club Hide-A-Way Lake Kiwanis y docente de la escuela dominical de la Iglesia Bautista de South Jefferson.

Cole pasó 16 años en el sector de la construcción, donde tuvo su empresa, y finalmente asumió la dirección de la empresa de construcción comercial de su familia. En este momento es propietario de una pequeña empresa del sector de los seguros y comprende la importancia del trabajo arduo y los valores conservadores.  

Tiene 13 años de casado con su esposa, Kerri, con quien tiene siete hermosos hijos. Es piloto privado y le gusta volar en su tiempo libre.",https://house.texas.gov/members/member-page/email/?district=5&session=87,"{'address_line_1': 'Room E2.718', 'address_line_2': 'P.O. Box 2910', 'address_city': 'Austin', 'address_state': 'TX', 'address_zip': '78768', 'phone_1': '5124630271', 'fax_1': '5124631515'}","{'address_line_1': 'Mount Pleasant District Office', 'address_line_2': '', 'address_city': '115', 'address_state': 'W.', 'address_zip': '1st', 'phone_1': 'MountPleasant,TX75455', 'fax_1': '9037178238'}","{'Business & Industry - Vice Chair': 'https://house.texas.gov/committees/committee/?committee=C040', 'Calendars': 'https://house.texas.gov/committees/committee/?committee=C050', 'Criminal Justice Reform, Interim Study': 'https://house.texas.gov/committees/committee/?committee=C226', 'Homeland Security & Public Safety': 'https://house.texas.gov/committees/committee/?committee=C420'}"
6,Schaefer,Matt,,https://house.texas.gov/members/member-page/?district=6,https://house.texas.gov/photos/members/2725.jpg?v=01,,,https://house.texas.gov/members/member-page/email/?district=6&session=87,"{'address_line_1': 'Room E2.510', 'address_line_2': 'P.O. Box 2910 ', 'address_city': 'Austin', 'address_state': 'TX', 'address_zip': '78768', 'phone_1': '5124630584', 'fax_1': ''}",None,"{'Appropriations': 'https://house.texas.gov/committees/committee/?committee=C030', 'Appropriations - S/C on Articles I, IV & V - Vice Chair': 'https://house.texas.gov/committees/committee/?committee=C013', 'Approps. - S/C on Strategic Fiscal Rev. & Fed. Relief Funds': 'https://house.texas.gov/committees/committee/?committee=C017', 'Homeland Security & Public Safety': 'https://house.texas.gov/committees/committee/?committee=C420'}"
7,Dean,Jay,,https://house.texas.gov/members/member-page/?district=7,https://house.texas.gov/photos/members/3515.jpg?v=01,"Jay Dean was elected in 2016 to serve as State Representative for House District 7, the area encompassing Gregg and Upshur Counties.

For over three decades, Jay has served Longview and the broader East Texas region as a business owner, civic leader, and consistent conservative. His reputation as a budget hawk and successful job creator on the City Council led to his election as Longview Mayor. Under his leadership, Longview was noted for its responsible budgeting, low tax rates, and economic development. As a result, Longview was ranked one of the top ten U.S. cities for economic growth and earned the distinction of being named one of the ""best places for business"" by Forbes magazine.

A lifelong conservative Republican, Representative Dean is a strong advocate for cutting the size of government, upholding the Constitution, defending religious liberty, securing the border, strengthening education, advancing the 2nd Amendment, and protecting life. Jay is a graduate of Louisiana State University and the President & CEO of Shale Flow Specialties. 

Jay and his wife, Pokie, live in Longview where they raised their three girls and helped found their church, St. Matthews.","Jay Dean fue elegido en 2016 como Representante del Estado del Distrito 7, el área que comprende los condados de Gregg y Upshur.

Durante más de tres décadas, Jay sirvió a Longview y la región mayor del Este de Texas como empresario, líder cívico y conservador constante. Su reputación como halcón económico y exitoso creador de empleo en el Concejo Municipal condujo a su elección como alcalde de Longview. Bajo su dirección, se observó que Longview tuvo presupuestos responsables, bajas tasas impositivas y desarrollo económico. Por lo tanto, se clasificó a Longview como una de las principales ciudades de los Estados Unidos por el desarrollo económico y obtuvo la distinción de ser nombrada uno de ""los mejores lugares para los negocios"" según la revista Forbes.

El Representante Dean, republicano conservador de toda la vida, es un sólido defensor de la reducción del tamaño del gobierno, la defensa de la Constitución, la defensa de la libertad religiosa, el aseguramiento de las fronteras, el fortalecimiento de la educación, el avance de la Segunda Enmienda y la protección de la vida. Jay se graduó en la Universidad del Estado de Luisiana y es presidente y director ejecutivo de Shale Flow Specialties. 

Jay y su esposa, Pokie, viven en Longview, donde criaron a sus tres hijas y ayudaron a fundar su iglesia: St. Matthews.",https://house.texas.gov/members/member-page/email/?district=7&session=87,"{'address_line_1': 'Room E2.908', 'address_line_2': 'P.O. Box 2910', 'address_city': 'Austin', 'address_state': 'TX', 'address_zip': '78768', 'phone_1': '5124630750', 'fax_1': '5124639085'}",None,"{'Appropriations': 'https://house.texas.gov/committees/committee/?committee=C030', 'Appropriations - S/C on Article II': 'https://house.texas.gov/committees/committee/?committee=C010', 'Environmental Regulation': 'https://house.texas.gov/committees/committee/?committee=C260', 'Local & Consent Calendars': 'https://house.texas.gov/committees/committee/?committee=C380'}"
8,Harris,Cody,,https://house.texas.gov/members/member-page/?district=8,https://house.texas.gov/photos/members/3580.jpg?v=01,"Cody Harris conservative values are deeply rooted in Texas House District 8.   His ancestors settled in Freestone County after the Civil War and his great-grandfather was the last operator of the Wildcat Ferry on the Trinity River between Anderson and Freestone counties. 

A graduate of Texas A&M University, Cody owns and operates Liberty Land & Ranch in Palestine, a statewide real estate brokerage firm.  He is an active member of the Texas Association of Realtors, Texas Farm Bureau, Texas Agricultural Lifetime Leadership Program (TALL), and lifetime member of the National Rifle Association.  

As State Representative, Codys priorities include securing the border, strengthening public schools, protecting farmers and ranchers and private property owner rights, lowering property taxes, shrinking the size of government and fighting for pro-life and pro-family values.

Protecting farmers and ranchers is personal to Harris. During the 1980s, his family lost everything during the savings & loan and oil market collapse.  The family leased a 100-acre tract of land outside Palestine and planted a crop of watermelon, corn, cucumbers and cantaloupe. They sold the produce on the side of the road to make ends meet and eventually recovered.

As the father of an adopted daughter, Harris also focuses on protecting the states most vulnerable children and reforming Child Protective Services.

Cody and his wife Taylor are proud parents to three sons and a daughter.  The family is active at First Baptist Church where Cody serves as Deacon.  Harris has also served in the following positions  Palestine Area Chamber of Commerce Board of Directors, member and President of the Palestine YMCA Board of Directors, President of the Palestine Young Professionals Network, volunteer for Palestine YMCA Youth & Government, and volunteer for Palestine ISD Business Mentor Program.","Los valores conservadores de Cody Harris tienen raíces profundas en el Distrito 8 de la Cámara de Texas.   Sus ancestros se establecieron en el Condado de Freestone después de la Guerra Civil y su bisabuelo fue el último operador del Ferry Wildcat del río Trinity entre los condados de Anderson y Freestone. 

Cody, graduado de la Universidad de Texas A&M, es propietario y opera Liberty Land & Ranch, una firma de corretaje de inmuebles de todo el estado, en Palestine.  Es un miembro activo de la Texas Association of Realtors, Texas Farm Bureau, Texas Agricultural Lifetime Leadership Program (TALL), y miembro vitalicio de la National Rifle Association.  

Las prioridades de Cody como Representante del Estado incluyen asegurar la frontera, fortalecer las escuelas públicas, proteger a los agricultores y ganaderos y los derechos de propiedad privada, reducir los impuestos sobre los bienes, reducir el tamaño del gobierno y luchar por los valores a favor de la vida y la familia.

Proteger a los agricultores y ganaderos es algo personal para Harris. En la década de 1980, su familia perdió todo durante el colapso de los mercados de ahorros y préstamos y del petróleo.  La familia arrendó un terreno de 100 acres en las afueras de Palestine y plantó sandía, maíz, pepinos y melón. Vendieron la producción al costado del camino para saldar cuentas y finalmente se recuperaron.

Como padre de una hija adoptiva, Harris también se concentra en proteger a los niños más vulnerables del Estado y reformar los Servicios de Protección Infantil.

Cody y su esposa, Taylor, son los orgullosos padres de tres varones y una mujer.  La familia participa activamente en la Primera Iglesia Bautista, donde Cody se desempeña como diácono.  Harris también se desempeñó en los puestos siguientes: Junta Directiva de la Cámara de Comercio del Área de Palestine, miembro y Presidente de la Junta Directiva de YMCA de Palestine, Presidente de la Red de Jóvenes Profesionales de Palestine, voluntario de Juventud y Gobierno de YMCA de Palestine, y voluntario del Programa de Mentores Empresariales del Distrito Escolar Independiente de Palestine.",https://house.texas.gov/members/member-page/email/?district=8&session=87,"{'address_line_1': 'Room E1.318', 'address_line_2': 'P.O. Box 2910 ', 'address_city': 'Austin', 'address_state': 'TX', 'address_zip': '78768', 'phone_1': '5124630730', 'fax_1': ''}",None,"{'Calendars': 'https://house.texas.gov/committees/committee/?committee=C050', 'Natural Resources - Vice Chair': 'https://house.texas.gov/committees/committee/?committee=C390', 'State Water Implementation Fund for Texas Advisory - Cochair': 'https://house.texas.gov/committees/committee/?committee=C890', 'Texas Infrastructure Resiliency Fund Advisory - Cochair': 'https://house.texas.gov/committees/committee/?committee=C980', 'Transportation': 'https://house.texas.gov/committees/committee/?committee=C470'}"
9,District,9,,https://house.texas.gov/members/member-page/?district=9,https://house.texas.gov/photos/members/0000.jpg?v=01,,,https://house.texas.gov/members/member-page/email/?district=9&session=87,"{'address_line_1': 'Room E2.502', 'address_line_2': 'P.O. Box 2910 ', 'address_city': 'Austin', 'address_state': 'TX', 'address_zip': '78768', 'phone_1': '5124630556', 'fax_1': '5124635896'}",None,{}
10,Harrison,Brian,,https://house.texas.gov/members/member-page/?district=10,https://house.texas.gov/photos/members/4085.jpg?v=01,"Brian Harrison is a passionate and effective advocate for limited government and individual liberty who proudly represents House District 10, comprised of Ellis and parts of Henderson Counties.  A native Texan and graduate of Ovilla Christian School, Brian and his family have long been involved in Ellis County and committed themselves to protecting our fundamental, constitutional rights.

During the Trump Administration, Brian served as the Chief of Staff at the U.S. Department of Health and Human Services (HHS), the largest government agency in the world with a budget of over $1.4 trillion and 25 divisions, where he led a staff of over 85,000 employees.

Under his leadership, HHS protected the unborn, secured the border, increased private health insurance options, advanced government policies that decreased costs, protected patients, increased transparency and accountability, inserted free market forces into the healthcare sector, and responded to the COVID-19 pandemic.  He helped launch Operation Warp Speed and successfully led historic deregulatory efforts such as sunsetting almost 20,000 regulations, ending unfair taxes, eliminating harmful programs, instituting a taxpayer accountability board, and creating term limits for senior career officials.  His actions have been projected to save billions of dollars.

Brian has also held positions at other federal agencies.  These include working on sensitive intelligence issues at the U.S. Department of Defense, managing complex domestic and worldwide operations in the office of the Vice President at the White House, and serving in the office of the Commissioner at the U.S. Social Security Administration.

Small business is the backbone of the American economy, and Brian has worked with his wife and father in multiple small, family-run businesses in Texas.  He has also worked as an independent consultant for various clients, as a director at a public affairs firm helping oversee their healthcare portfolio, and is an alumni of the American Council on Germanys Young Leaders program.

Within hours of being sworn-in to the Texas legislature in October of 2021, Brian authored HB 168, the Texas COVID Vaccine Freedom Act, to comprehensively ban all forced COVID vaccinations in Texas.  A regular guest on national television, Brian is a leader in the fight to protect liberty against tyrannical, big-government policies that harm Texans.

Brian is a proud member of the fightin Texas Aggie class of 2004, where he earned a Bachelor of Science degree in Economics and also studied Business Administration and Political Science.  He is an instrument-rated private pilot who lives in Ellis County, TX with his wife, Tara, and their four children.",,https://house.texas.gov/members/member-page/email/?district=10&session=87,"{'address_line_1': 'Room E1.208', 'address_line_2': 'P.O. Box 2910 ', 'address_city': 'Austin', 'address_state': 'TX', 'address_zip': '78768', 'phone_1': '5124630516', 'fax_1': ''}","{'address_line_1': '100 N College Street', 'address_line_2': 'Suite 306', 'address_city': 'Waxahachie', 'address_state': 'TX', 'address_zip': '75165', 'phone_1': '9729230264', 'fax_1': ':'}","{'Energy Resources': 'https://house.texas.gov/committees/committee/?committee=C250', 'Licensing & Administrative Procedures': 'https://house.texas.gov/committees/committee/?committee=C350'}"
