District,Rep_lastName,Rep_firstName,Rep_middleName,Rep_homepage_url,Rep_photo_url
1,VanDeaver,Gary,,https://house.texas.gov/members/member-page/?district=1,https://house.texas.gov/photos/members/2540.jpg?v=01
2,Slaton,Bryan,,https://house.texas.gov/members/member-page/?district=2,https://house.texas.gov/photos/members/4045.jpg?v=01
3,Bell,Cecil,,https://house.texas.gov/members/member-page/?district=3,https://house.texas.gov/photos/members/2335.jpg?v=01
4,Bell,Keith,,https://house.texas.gov/members/member-page/?district=4,https://house.texas.gov/photos/members/3695.jpg?v=01
5,Hefner,Cole,,https://house.texas.gov/members/member-page/?district=5,https://house.texas.gov/photos/members/3505.jpg?v=01
6,Schaefer,Matt,,https://house.texas.gov/members/member-page/?district=6,https://house.texas.gov/photos/members/2725.jpg?v=01
7,Dean,Jay,,https://house.texas.gov/members/member-page/?district=7,https://house.texas.gov/photos/members/3515.jpg?v=01
8,Harris,Cody,,https://house.texas.gov/members/member-page/?district=8,https://house.texas.gov/photos/members/3580.jpg?v=01
9,District,9,,https://house.texas.gov/members/member-page/?district=9,https://house.texas.gov/photos/members/0000.jpg?v=01
10,Harrison,Brian,,https://house.texas.gov/members/member-page/?district=10,https://house.texas.gov/photos/members/4085.jpg?v=01
11,Clardy,Travis,,https://house.texas.gov/members/member-page/?district=11,https://house.texas.gov/photos/members/2355.jpg?v=01
12,Kacal,Kyle,,https://house.texas.gov/members/member-page/?district=12,https://house.texas.gov/photos/members/2445.jpg?v=01
13,Leman,Ben,,https://house.texas.gov/members/member-page/?district=13,https://house.texas.gov/photos/members/3245.jpg?v=01
14,Raney,John,,https://house.texas.gov/members/member-page/?district=14,https://house.texas.gov/photos/members/2315.jpg?v=01
15,Toth,Steve,,https://house.texas.gov/members/member-page/?district=15,https://house.texas.gov/photos/members/2825.jpg?v=01
16,Metcalf,Will,,https://house.texas.gov/members/member-page/?district=16,https://house.texas.gov/photos/members/2900.jpg?v=01
17,Cyrier,John,P.,https://house.texas.gov/members/member-page/?district=17,https://house.texas.gov/photos/members/3125.jpg?v=01
18,Bailes,Ernest,,https://house.texas.gov/members/member-page/?district=18,https://house.texas.gov/photos/members/3200.jpg?v=01
19,District,19,,https://house.texas.gov/members/member-page/?district=19,https://house.texas.gov/photos/members/0000.jpg?v=01
20,Wilson,Terry,,https://house.texas.gov/members/member-page/?district=20,https://house.texas.gov/photos/members/3525.jpg?v=01
21,Phelan,Dade,,https://house.texas.gov/members/member-page/?district=21,https://house.texas.gov/photos/members/2905.jpg?v=01
22,Deshotel,Joe,,https://house.texas.gov/members/member-page/?district=22,https://house.texas.gov/photos/members/2690.jpg?v=01
23,Middleton,Mayes,,https://house.texas.gov/members/member-page/?district=23,https://house.texas.gov/photos/members/3645.jpg?v=01
24,Bonnen,Greg,,https://house.texas.gov/members/member-page/?district=24,https://house.texas.gov/photos/members/2875.jpg?v=01
25,Vasut,Cody,,https://house.texas.gov/members/member-page/?district=25,https://house.texas.gov/photos/members/4065.jpg?v=01
26,Jetton,Jacey,,https://house.texas.gov/members/member-page/?district=26,https://house.texas.gov/photos/members/3980.jpg?v=01
27,Reynolds,Ron,,https://house.texas.gov/members/member-page/?district=27,https://house.texas.gov/photos/members/2040.jpg?v=01
28,Gates,Gary,,https://house.texas.gov/members/member-page/?district=28,https://house.texas.gov/photos/members/3920.jpg?v=01
29,Thompson,Ed,,https://house.texas.gov/members/member-page/?district=29,https://house.texas.gov/photos/members/2815.jpg?v=01
30,Morrison,Geanie,W.,https://house.texas.gov/members/member-page/?district=30,https://house.texas.gov/photos/members/3870.jpg?v=01
31,Guillen,Ryan,,https://house.texas.gov/members/member-page/?district=31,https://house.texas.gov/photos/members/3045.jpg?v=01
32,Hunter,Todd,,https://house.texas.gov/members/member-page/?district=32,https://house.texas.gov/photos/members/3365.jpg?v=01
33,Holland,Justin,,https://house.texas.gov/members/member-page/?district=33,https://house.texas.gov/photos/members/3205.jpg?v=01
34,Herrero,Abel,,https://house.texas.gov/members/member-page/?district=34,https://house.texas.gov/photos/members/3140.jpg?v=01
35,Longoria,Oscar,,https://house.texas.gov/members/member-page/?district=35,https://house.texas.gov/photos/members/2485.jpg?v=01
